sale_id,sale_date,perfume_id,perfume_name,brand,category,price,supplier_id,stock_quantity,reorder_level,last_restock_date,supplier_name,country,contact_email
23,2024-01-28,27,J’adore,Dior,Eau de Parfum,150,11,262,9,2024-04-06,Christian Dior Official,USA,info@dior-official.com
24,2024-01-28,95,Bloom,Gucci,Eau de Parfum,139,22,302,14,2024-02-27,Gucci Official,Italy,info@gucci-official.com
25,2024-01-28,98,Rose Gold,Tiffany & Co.,Eau de Parfum,150,28,92,15,2024-03-12,Coty Inc.,USA,info@coty.com
26,2024-01-28,30,Icon,Dunhill,Eau de Parfum,120,31,590,6,2024-02-25,Inter Parfums UK Ltd.,UK,info@interparfums-uk.com
27,2024-01-28,75,Neroli Portofino,Tom Ford,Eau de Parfum,250,6,399,8,2024-03-13,Tom Ford Beauty Official,USA,info@tomford-official.com
28,2024-01-29,21,Idole,Lancome,Eau de Parfum,135,7,283,7,2024-01-10,L’Oreal Luxe,France,info@lorealluxe.com
29,2024-01-29,7,L’Homme,Prada,Eau de Toilette,135,16,641,3,2024-05-07,Prada Official,USA,info@prada-official.com
30,2024-01-29,16,Hero,Burberry,Eau de Parfum,150,19,718,3,2024-01-29,Burberry Official,UK,info@burberry-official.com
31,2024-01-29,55,Y,Yves Saint Laurent,Eau de Parfum,150,13,868,2,2024-04-27,YSL Beauty Official,USA,info@ysl-official.com
32,2024-01-29,31,Artisan,John Varvatos,Eau de Toilette,120,30,273,8,2024-03-05,Revlon Inc.,USA,info@revlon.com
33,2024-01-29,30,Icon,Dunhill,Eau de Parfum,120,31,590,6,2024-02-25,Inter Parfums UK Ltd.,UK,info@interparfums-uk.com
34,2024-01-29,14,Philosykos,Diptyque,Eau de Parfum,130,4,128,10,2024-04-02,Manzanita Capital,UK,info@manzanitacapital.com
35,2024-01-30,23,Peony & Blush Suede,Jo Malone,Cologne,155,3,84,16,2024-04-25,Estee Lauder Companies,USA,info@esteelauder-companies.com
36,2024-01-30,69,Chloe Eau de Parfum,Chloe,Eau de Parfum,150,28,68,20,2024-03-14,Coty Inc.,USA,info@coty.com
37,2024-01-30,92,Terre d’Hermes,Hermes,Eau de Toilette,150,9,160,9,2024-03-20,Hermes International,France,info@hermes-international.com
38,2024-01-30,33,Eau Rose,Diptyque,Eau de Parfum,130,4,37,18,2024-01-18,Manzanita Capital,UK,info@manzanitacapital.com
39,2024-01-30,3,Allure Homme Sport,Chanel,Eau de Toilette,150,8,473,7,2024-03-31,Chanel Official,USA,info@chanel-official.com
40,2024-01-30,39,Philosykos,Diptyque,Eau de Parfum,130,4,13,15,2024-02-19,Manzanita Capital,UK,info@manzanitacapital.com
41,2024-01-30,47,Miss Dior,Dior,Eau de Parfum,150,11,588,4,2024-02-23,Christian Dior Official,USA,info@dior-official.com
42,2024-01-30,5,Bal d’Afrique,Byredo,Eau de Parfum,180,5,917,2,2024-03-20,Puig,Spain,info@puig.com
43,2024-01-30,40,Bright Crystal,Versace,Eau de Toilette,110,14,32,19,2024-04-21,Versace Official,USA,info@versace-official.com
44,2024-01-30,23,Peony & Blush Suede,Jo Malone,Cologne,155,3,84,16,2024-04-25,Estee Lauder Companies,USA,info@esteelauder-companies.com
45,2024-01-30,47,Miss Dior,Dior,Eau de Parfum,150,11,588,4,2024-02-23,Christian Dior Official,USA,info@dior-official.com
46,2024-01-30,64,Her,Burberry,Eau de Parfum,135,19,130,9,2024-01-22,Burberry Official,UK,info@burberry-official.com
47,2024-01-30,40,Bright Crystal,Versace,Eau de Toilette,110,14,32,19,2024-04-21,Versace Official,USA,info@versace-official.com
48,2024-01-30,98,Rose Gold,Tiffany & Co.,Eau de Parfum,150,28,92,15,2024-03-12,Coty Inc.,USA,info@coty.com
49,2024-01-31,21,Idole,Lancome,Eau de Parfum,135,7,283,7,2024-01-10,L’Oreal Luxe,France,info@lorealluxe.com
50,2024-01-31,15,J’adore,Dior,Eau de Parfum,150,11,798,5,2024-03-18,Christian Dior Official,USA,info@dior-official.com
51,2024-01-31,73,La Vie Est Belle,Lancome,Eau de Parfum,135,7,455,5,2024-03-18,L’Oreal Luxe,France,info@lorealluxe.com
52,2024-01-31,37,Eau Rose,Diptyque,Eau de Parfum,130,4,180,14,2024-04-22,Manzanita Capital,UK,info@manzanitacapital.com
53,2024-01-31,48,My Way,Giorgio Armani,Eau de Parfum,135,12,40,18,2024-05-11,Giorgio Armani Beauty Official,USA,info@armani-official.com
54,2024-01-31,64,Her,Burberry,Eau de Parfum,135,19,130,9,2024-01-22,Burberry Official,UK,info@burberry-official.com
55,2024-01-31,95,Bloom,Gucci,Eau de Parfum,139,22,302,14,2024-02-27,Gucci Official,Italy,info@gucci-official.com
56,2024-01-31,31,Artisan,John Varvatos,Eau de Toilette,120,30,273,8,2024-03-05,Revlon Inc.,USA,info@revlon.com
57,2024-01-31,63,Gucci Guilty Pour Homme,Gucci,Eau de Toilette,130,22,282,12,2024-05-12,Gucci Official,Italy,info@gucci-official.com
58,2024-01-31,8,1 Million,Paco Rabanne,Eau de Toilette,120,15,242,10,2024-01-14,Paco Rabanne Official,USA,info@pacorabanne-official.com
59,2024-01-31,72,Fahrenheit,Dior,Eau de Toilette,130,11,203,7,2024-05-29,Christian Dior Official,USA,info@dior-official.com
60,2024-01-31,77,Wood Sage & Sea Salt,Jo Malone,Cologne,140,3,99,17,2024-02-12,Estee Lauder Companies,USA,info@esteelauder-companies.com
61,2024-01-31,17,La Nuit de L’Homme,Yves Saint Laurent,Eau de Toilette,140,13,570,4,2024-05-20,YSL Beauty Official,USA,info@ysl-official.com
62,2024-01-31,24,Fierce,Abercrombie & Fitch,Eau de Parfum,120,29,125,11,2024-03-24,Inter Parfums Inc.,USA,info@interparfums.com
63,2024-01-31,59,Orange Sanguine,Atelier Cologne,Eau de Cologne,140,7,256,14,2024-05-31,L’Oreal Luxe,France,info@lorealluxe.com
64,2024-02-01,8,1 Million,Paco Rabanne,Eau de Toilette,120,15,242,10,2024-01-14,Paco Rabanne Official,USA,info@pacorabanne-official.com
65,2024-02-01,24,Fierce,Abercrombie & Fitch,Eau de Parfum,120,29,125,11,2024-03-24,Inter Parfums Inc.,USA,info@interparfums.com
66,2024-02-01,23,Peony & Blush Suede,Jo Malone,Cologne,155,3,84,16,2024-04-25,Estee Lauder Companies,USA,info@esteelauder-companies.com
67,2024-02-01,18,Fierce,Abercrombie & Fitch,Eau de Parfum,120,29,138,12,2024-04-15,Inter Parfums Inc.,USA,info@interparfums.com
68,2024-02-01,93,L’Interdit,Givenchy,Eau de Parfum,138,23,840,2,2024-01-22,Givenchy Official,France,info@givenchy-official.com
69,2024-02-01,17,La Nuit de L’Homme,Yves Saint Laurent,Eau de Toilette,140,13,570,4,2024-05-20,YSL Beauty Official,USA,info@ysl-official.com
70,2024-02-01,44,Scandal,Jean Paul Gaultier,Eau de Parfum,130,18,486,4,2024-01-01,Jean Paul Gaultier Official,France,info@jeanpaulgaultier-official.com
71,2024-02-01,53,Gypsy Water,Byredo,Eau de Parfum,180,5,240,10,2024-03-06,Puig,Spain,info@puig.com
72,2024-02-01,67,Man in Black,Bvlgari,Eau de Parfum,140,2,331,9,2024-05-18,LVMH Group,France,info@lvmn.com
73,2024-02-01,53,Gypsy Water,Byredo,Eau de Parfum,180,5,240,10,2024-03-06,Puig,Spain,info@puig.com
74,2024-02-01,2,Neroli Portofino,Tom Ford,Eau de Parfum,250,6,579,5,2024-03-28,Tom Ford Beauty Official,USA,info@tomford-official.com
75,2024-02-01,2,Neroli Portofino,Tom Ford,Eau de Parfum,250,6,579,5,2024-03-28,Tom Ford Beauty Official,USA,info@tomford-official.com
76,2024-02-01,68,Bright Crystal,Versace,Eau de Toilette,110,14,56,18,2024-02-18,Versace Official,USA,info@versace-official.com
77,2024-02-02,14,Philosykos,Diptyque,Eau de Parfum,130,4,128,10,2024-04-02,Manzanita Capital,UK,info@manzanitacapital.com
78,2024-02-02,10,La Nuit de L’Homme,Yves Saint Laurent,Eau de Toilette,140,13,40,17,2024-03-02,YSL Beauty Official,USA,info@ysl-official.com
79,2024-02-02,100,Black Orchid,Tom Ford,Eau de Parfum,180,6,588,4,2024-04-26,Tom Ford Beauty Official,USA,info@tomford-official.com
80,2024-02-02,37,Eau Rose,Diptyque,Eau de Parfum,130,4,180,14,2024-04-22,Manzanita Capital,UK,info@manzanitacapital.com
81,2024-02-02,18,Fierce,Abercrombie & Fitch,Eau de Parfum,120,29,138,12,2024-04-15,Inter Parfums Inc.,USA,info@interparfums.com
82,2024-02-02,77,Wood Sage & Sea Salt,Jo Malone,Cologne,140,3,99,17,2024-02-12,Estee Lauder Companies,USA,info@esteelauder-companies.com
83,2024-02-02,98,Rose Gold,Tiffany & Co.,Eau de Parfum,150,28,92,15,2024-03-12,Coty Inc.,USA,info@coty.com
84,2024-02-02,23,Peony & Blush Suede,Jo Malone,Cologne,155,3,84,16,2024-04-25,Estee Lauder Companies,USA,info@esteelauder-companies.com
85,2024-02-02,9,Very Good Girl,Carolina Herrera,Eau de Parfum,138,5,542,6,2024-01-22,Puig,Spain,info@puig.com
86,2024-02-02,40,Bright Crystal,Versace,Eau de Toilette,110,14,32,19,2024-04-21,Versace Official,USA,info@versace-official.com
87,2024-02-02,48,My Way,Giorgio Armani,Eau de Parfum,135,12,40,18,2024-05-11,Giorgio Armani Beauty Official,USA,info@armani-official.com
88,2024-02-02,27,J’adore,Dior,Eau de Parfum,150,11,262,9,2024-04-06,Christian Dior Official,USA,info@dior-official.com
89,2024-02-02,22,Bad Boy,Carolina Herrera,Eau de Toilette,135,5,763,7,2024-02-29,Puig,Spain,info@puig.com
90,2024-02-02,40,Bright Crystal,Versace,Eau de Toilette,110,14,32,19,2024-04-21,Versace Official,USA,info@versace-official.com
91,2024-02-02,23,Peony & Blush Suede,Jo Malone,Cologne,155,3,84,16,2024-04-25,Estee Lauder Companies,USA,info@esteelauder-companies.com
92,2024-02-02,46,Explorer,Montblanc,Eau de Parfum,120,21,672,6,2024-05-26,Montblanc Official,Germany,info@montblanc-official.com
93,2024-02-03,49,Bentley for Men Intense,Bentley,Eau de Parfum,130,32,157,10,2024-03-13,Lalique Group SA,Switzerland,info@lalique-group.com
94,2024-02-03,65,Miss Dior,Dior,Eau de Parfum,150,11,908,2,2024-05-26,Christian Dior Official,USA,info@dior-official.com
95,2024-02-03,17,La Nuit de L’Homme,Yves Saint Laurent,Eau de Toilette,140,13,570,4,2024-05-20,YSL Beauty Official,USA,info@ysl-official.com
96,2024-02-03,76,L’Interdit,Givenchy,Eau de Parfum,138,23,84,19,2024-04-02,Givenchy Official,France,info@givenchy-official.com
97,2024-02-03,4,The One for Men,Dolce & Gabbana,Eau de Parfum,130,27,546,6,2024-01-11,Shiseido Group,Japan,info@shiseido-group.com
98,2024-02-03,1,Sauvage,Dior,Eau de Toilette,155,11,469,3,2024-03-04,Christian Dior Official,USA,info@dior-official.com
99,2024-02-03,97,My Way,Giorgio Armani,Eau de Parfum,135,12,52,18,2024-05-04,Giorgio Armani Beauty Official,USA,info@armani-official.com
100,2024-02-03,23,Peony & Blush Suede,Jo Malone,Cologne,155,3,84,16,2024-04-25,Estee Lauder Companies,USA,info@esteelauder-companies.com
101,2024-02-03,80,Polo Blue,Ralph Lauren,Eau de Toilette,120,24,249,12,2024-02-19,Ralph Lauren Official,USA,info@ralphlauren-official.com
102,2024-02-03,81,Fahrenheit,Dior,Eau de Toilette,130,11,139,8,2024-02-23,Christian Dior Official,USA,info@dior-official.com
103,2024-02-03,16,Hero,Burberry,Eau de Parfum,150,19,718,3,2024-01-29,Burberry Official,UK,info@burberry-official.com
104,2024-02-03,40,Bright Crystal,Versace,Eau de Toilette,110,14,32,19,2024-04-21,Versace Official,USA,info@versace-official.com
105,2024-02-03,94,Black Opium,Yves Saint Laurent,Eau de Parfum,135,13,803,1,2024-05-29,YSL Beauty Official,USA,info@ysl-official.com
106,2024-02-03,63,Gucci Guilty Pour Homme,Gucci,Eau de Toilette,130,22,282,12,2024-05-12,Gucci Official,Italy,info@gucci-official.com
107,2024-02-03,62,Libre,Yves Saint Laurent,Eau de Parfum,140,13,406,5,2024-03-27,YSL Beauty Official,USA,info@ysl-official.com
108,2024-02-03,46,Explorer,Montblanc,Eau de Parfum,120,21,672,6,2024-05-26,Montblanc Official,Germany,info@montblanc-official.com
109,2024-02-03,53,Gypsy Water,Byredo,Eau de Parfum,180,5,240,10,2024-03-06,Puig,Spain,info@puig.com
110,2024-02-04,42,Y,Yves Saint Laurent,Eau de Parfum,150,13,874,2,2024-05-29,YSL Beauty Official,USA,info@ysl-official.com
111,2024-02-04,52,Jimmy Choo Eau de Parfum,Jimmy Choo,Eau de Parfum,130,29,406,6,2024-03-13,Inter Parfums Inc.,USA,info@interparfums.com
112,2024-02-04,53,Gypsy Water,Byredo,Eau de Parfum,180,5,240,10,2024-03-06,Puig,Spain,info@puig.com
113,2024-02-04,81,Fahrenheit,Dior,Eau de Toilette,130,11,139,8,2024-02-23,Christian Dior Official,USA,info@dior-official.com
114,2024-02-04,3,Allure Homme Sport,Chanel,Eau de Toilette,150,8,473,7,2024-03-31,Chanel Official,USA,info@chanel-official.com
115,2024-02-04,40,Bright Crystal,Versace,Eau de Toilette,110,14,32,19,2024-04-21,Versace Official,USA,info@versace-official.com
116,2024-02-04,64,Her,Burberry,Eau de Parfum,135,19,130,9,2024-01-22,Burberry Official,UK,info@burberry-official.com
117,2024-02-04,36,Boss Bottled,Hugo Boss,Eau de Toilette,120,25,570,4,2024-01-13,Hugo Boss Official,Germany,info@hugoboss-official.com
118,2024-02-04,73,La Vie Est Belle,Lancome,Eau de Parfum,135,7,455,5,2024-03-18,L’Oreal Luxe,France,info@lorealluxe.com
119,2024-02-04,27,J’adore,Dior,Eau de Parfum,150,11,262,9,2024-04-06,Christian Dior Official,USA,info@dior-official.com
120,2024-02-04,32,Le Male,Jean Paul Gaultier,Eau de Toilette,120,18,130,13,2024-04-03,Jean Paul Gaultier Official,France,info@jeanpaulgaultier-official.com
121,2024-02-04,82,Spicebomb,Viktor & Rolf,Eau de Toilette,135,17,301,11,2024-01-03,Viktor & Rolf Official,Netherlands,info@viktorrolf-official.com
122,2024-02-04,51,Y,Yves Saint Laurent,Eau de Parfum,150,13,79,17,2024-05-31,YSL Beauty Official,USA,info@ysl-official.com
123,2024-02-04,23,Peony & Blush Suede,Jo Malone,Cologne,155,3,84,16,2024-04-25,Estee Lauder Companies,USA,info@esteelauder-companies.com
124,2024-02-04,13,Orange Sanguine,Atelier Cologne,Eau de Cologne,140,7,61,17,2024-04-10,L’Oreal Luxe,France,info@lorealluxe.com
125,2024-02-04,7,L’Homme,Prada,Eau de Toilette,135,16,641,3,2024-05-07,Prada Official,USA,info@prada-official.com
126,2024-02-04,62,Libre,Yves Saint Laurent,Eau de Parfum,140,13,406,5,2024-03-27,YSL Beauty Official,USA,info@ysl-official.com
127,2024-02-04,76,L’Interdit,Givenchy,Eau de Parfum,138,23,84,19,2024-04-02,Givenchy Official,France,info@givenchy-official.com
128,2024-02-04,9,Very Good Girl,Carolina Herrera,Eau de Parfum,138,5,542,6,2024-01-22,Puig,Spain,info@puig.com
129,2024-02-04,61,Peony & Blush Suede,Jo Malone,Cologne,155,3,163,9,2024-01-15,Estee Lauder Companies,USA,info@esteelauder-companies.com
130,2024-02-04,84,Eros,Versace,Eau de Toilette,130,14,278,7,2024-03-13,Versace Official,USA,info@versace-official.com
131,2024-02-04,79,Gypsy Water,Byredo,Eau de Parfum,180,5,666,4,2024-05-05,Puig,Spain,info@puig.com
132,2024-02-05,68,Bright Crystal,Versace,Eau de Toilette,110,14,56,18,2024-02-18,Versace Official,USA,info@versace-official.com
133,2024-02-05,40,Bright Crystal,Versace,Eau de Toilette,110,14,32,19,2024-04-21,Versace Official,USA,info@versace-official.com
134,2024-02-05,3,Allure Homme Sport,Chanel,Eau de Toilette,150,8,473,7,2024-03-31,Chanel Official,USA,info@chanel-official.com
135,2024-02-05,53,Gypsy Water,Byredo,Eau de Parfum,180,5,240,10,2024-03-06,Puig,Spain,info@puig.com
136,2024-02-05,74,Explorer,Montblanc,Eau de Parfum,120,21,595,4,2024-02-23,Montblanc Official,Germany,info@montblanc-official.com
137,2024-02-05,99,Gucci Guilty Pour Homme,Gucci,Eau de Toilette,130,22,155,7,2024-03-13,Gucci Official,Italy,info@gucci-official.com
138,2024-02-05,95,Bloom,Gucci,Eau de Parfum,139,22,302,14,2024-02-27,Gucci Official,Italy,info@gucci-official.com
139,2024-02-05,65,Miss Dior,Dior,Eau de Parfum,150,11,908,2,2024-05-26,Christian Dior Official,USA,info@dior-official.com
140,2024-02-05,35,Good Girl,Carolina Herrera,Eau de Parfum,138,5,220,9,2024-05-01,Puig,Spain,info@puig.com
141,2024-02-05,40,Bright Crystal,Versace,Eau de Toilette,110,14,32,19,2024-04-21,Versace Official,USA,info@versace-official.com
142,2024-02-05,79,Gypsy Water,Byredo,Eau de Parfum,180,5,666,4,2024-05-05,Puig,Spain,info@puig.com
143,2024-02-05,37,Eau Rose,Diptyque,Eau de Parfum,130,4,180,14,2024-04-22,Manzanita Capital,UK,info@manzanitacapital.com
144,2024-02-05,67,Man in Black,Bvlgari,Eau de Parfum,140,2,331,9,2024-05-18,LVMH Group,France,info@lvmn.com
145,2024-02-05,68,Bright Crystal,Versace,Eau de Toilette,110,14,56,18,2024-02-18,Versace Official,USA,info@versace-official.com
146,2024-02-05,51,Y,Yves Saint Laurent,Eau de Parfum,150,13,79,17,2024-05-31,YSL Beauty Official,USA,info@ysl-official.com
147,2024-02-05,2,Neroli Portofino,Tom Ford,Eau de Parfum,250,6,579,5,2024-03-28,Tom Ford Beauty Official,USA,info@tomford-official.com
148,2024-02-05,68,Bright Crystal,Versace,Eau de Toilette,110,14,56,18,2024-02-18,Versace Official,USA,info@versace-official.com
149,2024-02-05,73,La Vie Est Belle,Lancome,Eau de Parfum,135,7,455,5,2024-03-18,L’Oreal Luxe,France,info@lorealluxe.com
150,2024-02-05,88,Blanc,Lacoste,Eau de Toilette,100,34,116,8,2024-03-23,Inter Parfums SA,France,info@interparfums-fr.com
151,2024-02-05,60,Donna Born in Roma,Valentino,Eau de Parfum,138,7,877,2,2024-03-10,L’Oreal Luxe,France,info@lorealluxe.com
152,2024-02-05,76,L’Interdit,Givenchy,Eau de Parfum,138,23,84,19,2024-04-02,Givenchy Official,France,info@givenchy-official.com
153,2024-02-05,18,Fierce,Abercrombie & Fitch,Eau de Parfum,120,29,138,12,2024-04-15,Inter Parfums Inc.,USA,info@interparfums.com
154,2024-02-05,96,Nomade,Chloe,Eau de Parfum,150,28,945,1,2024-02-26,Coty Inc.,USA,info@coty.com
155,2024-02-05,68,Bright Crystal,Versace,Eau de Toilette,110,14,56,18,2024-02-18,Versace Official,USA,info@versace-official.com
156,2024-02-06,63,Gucci Guilty Pour Homme,Gucci,Eau de Toilette,130,22,282,12,2024-05-12,Gucci Official,Italy,info@gucci-official.com
157,2024-02-06,39,Philosykos,Diptyque,Eau de Parfum,130,4,13,15,2024-02-19,Manzanita Capital,UK,info@manzanitacapital.com
158,2024-02-06,59,Orange Sanguine,Atelier Cologne,Eau de Cologne,140,7,256,14,2024-05-31,L’Oreal Luxe,France,info@lorealluxe.com
159,2024-02-06,6,L’Eau d’Issey Pour Homme,Issey Miyake,Eau de Toilette,110,26,254,13,2024-01-28,"Shiseido Company, Ltd.",Japan,info@shiseido-comp.com
160,2024-02-06,28,Allure Homme Sport,Chanel,Eau de Toilette,150,8,911,2,2024-01-06,Chanel Official,USA,info@chanel-official.com
161,2024-02-06,80,Polo Blue,Ralph Lauren,Eau de Toilette,120,24,249,12,2024-02-19,Ralph Lauren Official,USA,info@ralphlauren-official.com
162,2024-02-06,41,Rose Gold,Tiffany & Co.,Eau de Parfum,150,28,177,11,2024-04-01,Coty Inc.,USA,info@coty.com
163,2024-02-06,29,Mon Guerlain,Guerlain,Eau de Parfum,150,2,787,7,2024-01-09,LVMH Group,France,info@lvmn.com
164,2024-02-06,89,Paradoxe,Prada,Eau de Parfum,150,16,718,4,2024-02-24,Prada Official,USA,info@prada-official.com
165,2024-02-06,6,L’Eau d’Issey Pour Homme,Issey Miyake,Eau de Toilette,110,26,254,13,2024-01-28,"Shiseido Company, Ltd.",Japan,info@shiseido-comp.com
166,2024-02-06,62,Libre,Yves Saint Laurent,Eau de Parfum,140,13,406,5,2024-03-27,YSL Beauty Official,USA,info@ysl-official.com
167,2024-02-06,37,Eau Rose,Diptyque,Eau de Parfum,130,4,180,14,2024-04-22,Manzanita Capital,UK,info@manzanitacapital.com
168,2024-02-07,68,Bright Crystal,Versace,Eau de Toilette,110,14,56,18,2024-02-18,Versace Official,USA,info@versace-official.com
169,2024-02-07,66,A*Men,Mugler,Eau de Toilette,120,7,410,3,2024-02-19,L’Oreal Luxe,France,info@lorealluxe.com
170,2024-02-07,20,Daisy,Marc Jacobs,Eau de Toilette,110,28,190,7,2024-01-29,Coty Inc.,USA,info@coty.com
171,2024-02-07,80,Polo Blue,Ralph Lauren,Eau de Toilette,120,24,249,12,2024-02-19,Ralph Lauren Official,USA,info@ralphlauren-official.com
172,2024-02-07,61,Peony & Blush Suede,Jo Malone,Cologne,155,3,163,9,2024-01-15,Estee Lauder Companies,USA,info@esteelauder-companies.com
173,2024-02-07,3,Allure Homme Sport,Chanel,Eau de Toilette,150,8,473,7,2024-03-31,Chanel Official,USA,info@chanel-official.com
174,2024-02-07,18,Fierce,Abercrombie & Fitch,Eau de Parfum,120,29,138,12,2024-04-15,Inter Parfums Inc.,USA,info@interparfums.com
175,2024-02-07,29,Mon Guerlain,Guerlain,Eau de Parfum,150,2,787,7,2024-01-09,LVMH Group,France,info@lvmn.com
176,2024-02-07,13,Orange Sanguine,Atelier Cologne,Eau de Cologne,140,7,61,17,2024-04-10,L’Oreal Luxe,France,info@lorealluxe.com
177,2024-02-07,11,Wood Sage & Sea Salt,Jo Malone,Cologne,140,3,736,3,2024-02-15,Estee Lauder Companies,USA,info@esteelauder-companies.com
178,2024-02-07,9,Very Good Girl,Carolina Herrera,Eau de Parfum,138,5,542,6,2024-01-22,Puig,Spain,info@puig.com
179,2024-02-07,20,Daisy,Marc Jacobs,Eau de Toilette,110,28,190,7,2024-01-29,Coty Inc.,USA,info@coty.com
180,2024-02-08,89,Paradoxe,Prada,Eau de Parfum,150,16,718,4,2024-02-24,Prada Official,USA,info@prada-official.com
181,2024-02-08,18,Fierce,Abercrombie & Fitch,Eau de Parfum,120,29,138,12,2024-04-15,Inter Parfums Inc.,USA,info@interparfums.com
182,2024-02-08,12,Rose Gold,Tiffany & Co.,Eau de Parfum,150,28,977,1,2024-02-17,Coty Inc.,USA,info@coty.com
183,2024-02-08,51,Y,Yves Saint Laurent,Eau de Parfum,150,13,79,17,2024-05-31,YSL Beauty Official,USA,info@ysl-official.com
184,2024-02-08,32,Le Male,Jean Paul Gaultier,Eau de Toilette,120,18,130,13,2024-04-03,Jean Paul Gaultier Official,France,info@jeanpaulgaultier-official.com
185,2024-02-08,31,Artisan,John Varvatos,Eau de Toilette,120,30,273,8,2024-03-05,Revlon Inc.,USA,info@revlon.com
186,2024-02-08,24,Fierce,Abercrombie & Fitch,Eau de Parfum,120,29,125,11,2024-03-24,Inter Parfums Inc.,USA,info@interparfums.com
187,2024-02-08,77,Wood Sage & Sea Salt,Jo Malone,Cologne,140,3,99,17,2024-02-12,Estee Lauder Companies,USA,info@esteelauder-companies.com
188,2024-02-08,11,Wood Sage & Sea Salt,Jo Malone,Cologne,140,3,736,3,2024-02-15,Estee Lauder Companies,USA,info@esteelauder-companies.com
189,2024-02-08,7,L’Homme,Prada,Eau de Toilette,135,16,641,3,2024-05-07,Prada Official,USA,info@prada-official.com
190,2024-02-08,10,La Nuit de L’Homme,Yves Saint Laurent,Eau de Toilette,140,13,40,17,2024-03-02,YSL Beauty Official,USA,info@ysl-official.com
191,2024-02-08,53,Gypsy Water,Byredo,Eau de Parfum,180,5,240,10,2024-03-06,Puig,Spain,info@puig.com
192,2024-02-08,63,Gucci Guilty Pour Homme,Gucci,Eau de Toilette,130,22,282,12,2024-05-12,Gucci Official,Italy,info@gucci-official.com
193,2024-02-08,62,Libre,Yves Saint Laurent,Eau de Parfum,140,13,406,5,2024-03-27,YSL Beauty Official,USA,info@ysl-official.com
194,2024-02-08,6,L’Eau d’Issey Pour Homme,Issey Miyake,Eau de Toilette,110,26,254,13,2024-01-28,"Shiseido Company, Ltd.",Japan,info@shiseido-comp.com
